SBARRAMENTO 17-07-23
1. C
2. D
3. D
4. FALSE
5. FALSE
6. B
7. B
8. C
9. FALSE
10. TRUE

SBARRAMENTO 16-09-22
1. D
2. C
3. FALSE
4. FALSE
5. TRUE
6. B
7. A
8. A
9. FALSE
10. FALSE

SBARRAMENTO 19-07-22
1. A
2. D
3. FALSE
4. TRUE
5. FALSE
6. D
7. D
8. C
9. FALSE
10. FALSE

SBARRAMENTO 25-05-22
1. D
2. A
3. FALSE
4. FALSE
5. TRUE
6. C
7. B 
8. FALSE
9. TRUE
10. FALSE

SBARRAMENTO 30-06-23
1. C
2. C
3. D
4. FALSE
5. FALSE
6. C
7. B
8. C
9. FALSE
10. FALSE

SBARRAMENTO 16-06-23
1. B
2. B
3. D
4. FALSE
5. TRUE
6. D
7. C
8. B 
9. FALSE
10. FALSE

SBARRAMENTO 12-01-24
1. D
2. D
3. B
4. TRUE
5. TRUE
6. C
7. B
8. A
9. FALSE
10. TRUE

SBARRAMENTO 12-01-23
1. D 
2. D
3. FALSE
4. TRUE
5. TRUE
6. B
7. D
8. C
9. FALSE
10. TRUE

SBARRAMENTO 10-06-22
1. B
2. D
3. FALSE
4. FALSE
5. FALSE
6. C
7. C
8. B
9. FALSE
10. FALSE

SBARRAMENTO 03-02-23
1. D
2. D
3. FALSE
4. FALSE
5. FALSE
6. A
7. C
8. A
9. FALSE
10. FALSE
